Номер,Название,НМЦ,Аванс,Валюта закупки,Дата публикации,Планируемая дата публикации,Окончание приема заявок,Проведение отбора,Этап отбора,Тип торгов,Ссылка на ЕИС,Способ отбора,ЭТП,"СМП, СОНО",Размещает  закупку,Контактное лицо,Метка ,Комментарий,Ответственный,Регион,Название.1,ИНН,КПП,Телефон,Место поставки,Место поставки из документов,source_date,in_registry
6133907,"Предоставление ""Заказчику"" неисключительного права использования программы для ЭВМ ""Куб CMS"" в режиме ""Управление сайтом онлайн"", сроком на 1 год",10000.0,,RUB,2026-07-07 13:19:31.000,,2026-07-08 13:19:00,,Завершена,Малые закупки,,Малая закупка,Портал поставщиков,,"7816165264-781601001
Государственное бюджетное общеобразовательное учреждение СОШ № 313 Фрунзенского района Санкт-Петербурга",Морозова Вера Юрьевна. 7-812-7767956,,,,78 Санкт-Петербург,Государственное бюджетное общеобразовательное учреждение СОШ № 313 Фрунзенского района Санкт-Петербурга,7816165264.0,781601001.0,"88127767956
7713813
7713814
7767956
88124175968
88127768021
89817510232","192283, Санкт-Петербург, улица Олеко Дундича, дом 25, корпус 3, Литер А ; г г Санкт-Петербург",,08.07.2026,False
57810904590250002010000,Оказание информационно-консультационных услуг по предоставлению доступа АО «Метрострой Северной Столицы» (с предоставлением 4 (Четырех) Подключений) через информационно-телекоммуникационную сеть «Интернет» к сетевому изданию «Информационный ресурс «СПАРК»,634375.0,,RUB,2026-07-07 09:53:13.000,,,,Завершена,223-ФЗ,ЕИС,Закупка иного способа размещения,ЕИС,,"7810904590-781001001
АО «Метрострой Северной Столицы»",,,,,78 Санкт-Петербург,АО «Метрострой Северной Столицы»,7810904590.0,781001001.0,"88127402131
88129894959
89219193600",,,08.07.2026,False
3704515,Услуги по предоставлению доступа к информационным ресурсам и использованию программного обеспечения для контрольно-кассовых аппаратов.,141856.66,,RUB,2026-07-07 17:04:36.000,,2026-07-10 17:05:00,,Завершена,Малые закупки,,Малая закупка,Электронный магазин Московской области,,"5018202624-501801001
Государственное бюджетное Учреждения Здравоохранения Московской обл. «Московский Областной Клинический Наркологический Диспансер»",см. документацию. см. документацию. см. документацию,,,,50 Московская область,Государственное бюджетное Учреждения Здравоохранения Московской обл. «Московский Областной Клинический Наркологический Диспансер»,5018202624.0,501801001.0,"84955190079
84955199618
84962431079
84967352702
84967529509
84967529511
84967541494
84967544069
84955113047
84965675201",,,08.07.2026,False
10477255,"Лицензия на право использования программного обеспечения для ЭВМ ""ТехноКад-Муниципалитет модуль Оптима""",58400.0,,RUB,2026-07-07 11:22:14.000,,2026-07-08 11:19:00,,Завершена,Малые закупки,,Малая закупка,РТС-тендер,,"5008001799-500801001
Администрация Городского Округа Долгопрудный",см. документацию. см. документацию. см. документацию,,,,50 Московская область,Администрация Городского Округа Долгопрудный,5008001799.0,500801001.0,"84951344471
84954082694
292125
84594080827
84954086908
84955765136
84954087200
84954088255
84955761185
84955768484",В соответствии с условиями муниципального контракта,,08.07.2026,False
3704542,"Оказание услуг по предоставлению доступа к сервису ""Ассистент преподавателя""",20000.0,,RUB,2026-07-07 17:36:32.000,,2026-07-08 17:37:00,,Завершена,Малые закупки,,Малая закупка,Электронный магазин Московской области,,"5027057155-502701001
Муниципальное бюджетное общеобразовательное учреждение «Котельниковская СОШ № 2»",см. документацию. см. документацию. см. документацию,,,,50 Московская область,Муниципальное бюджетное общеобразовательное учреждение «Котельниковская СОШ № 2»,5027057155.0,502701001.0,"84955599309
84955599318
84985517151
84985599322
89262532558
84955598379
84955599322",,,08.07.2026,False
6134494,Услуги по предоставлению доступа к информационным ресурсам и использованию программного обеспечения для контрольно-кассовых аппаратов.,141856.66,,RUB,2026-07-07 17:04:36.000,,2026-07-10 17:05:00,,Завершена,Коммерческие,,Тендер,Портал поставщиков,,"5018202624-501801001
Государственное бюджетное Учреждения Здравоохранения Московской обл. «Московский Областной Клинический Наркологический Диспансер»","ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЯ ЗДРАВООХРАНЕНИЯ МОСКОВСКОЙ ОБЛАСТИ ""МОСКОВСКИЙ ОБЛАСТНОЙ КЛИНИЧЕСКИЙ НАРКОЛОГИЧЕСКИЙ ДИСПАНСЕР""",,,,50 Московская область,Государственное бюджетное Учреждения Здравоохранения Московской обл. «Московский Областной Клинический Наркологический Диспансер»,5018202624.0,501801001.0,"84955190079
84955199618
84962431079
84967352702
84967529509
84967529511
84967541494
84967544069
84955113047
84965675201","141060, Московская область, г. Королёв, мкр. Болшево, ул. Прудная, д.10, пом. I; Московская область",,08.07.2026,False
6134508,"Оказание услуг по предоставлению доступа к сервису ""Ассистент преподавателя""",20000.0,,RUB,2026-07-07 17:36:32.000,,2026-07-08 17:37:00,,Завершена,Коммерческие,,Тендер,Портал поставщиков,,"5027057155-502701001
Муниципальное бюджетное общеобразовательное учреждение «Котельниковская СОШ № 2»","МУНИЦИПАЛЬНОЕ БЮДЖЕТНОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ""КОТЕЛЬНИКОВСКАЯ СРЕДНЯЯ ОБЩЕОБРАЗОВАТЕЛЬНАЯ ШКОЛА № 2""",,,,50 Московская область,Муниципальное бюджетное общеобразовательное учреждение «Котельниковская СОШ № 2»,5027057155.0,502701001.0,"84955599309
84955599318
84985517151
84985599322
89262532558
84955598379
84955599322","Московская область, г, Котельники, мкр. Парковый, д. 5.; Московская область",,08.07.2026,False
10479023,Услуги по предоставлению доступа к информационным ресурсам и использованию программного обеспечения для контрольно-кассовых аппаратов.,141856.66,,RUB,2026-07-07 17:08:14.000,,2026-07-10 17:05:00,,Завершена,Малые закупки,,Малая закупка,РТС-тендер,,"5018202624-501801001
Государственное бюджетное Учреждения Здравоохранения Московской обл. «Московский Областной Клинический Наркологический Диспансер»",см. документацию. см. документацию. см. документацию,,,,50 Московская область,Государственное бюджетное Учреждения Здравоохранения Московской обл. «Московский Областной Клинический Наркологический Диспансер»,5018202624.0,501801001.0,"84955190079
84955199618
84962431079
84967352702
84967529509
84967529511
84967541494
84967544069
84955113047
84965675201","141060, Московская область, г. Королёв, мкр. Болшево, ул. Прудная, д.10, пом. I",,08.07.2026,False
COM07072600109,"Выполнение работ по развитию АИС ""Взаимодействие"" для нужд АНО ""СОДФУ""",420000.0,,RUB,2026-07-07 17:40:47.000,,2026-07-15 09:00:00,,Работа комиссии,Коммерческие,,Запрос предложений,Росэлторг (ЕЭТП),,"7706459575-770601001
АНО «Служба Обеспечения Деятельности Финансового Уполномоченного»",Романова Ирина Вадимовна. 7-495-1201379 77417. romanovaiv@finombudsman.ru,,,,77 Москва,АНО «Служба Обеспечения Деятельности Финансового Уполномоченного»,7706459575.0,770601001.0,"04858
2495576
2511380
2618110
5868043
83912179393
84951290819
84951377900
84957660852
84951201379",В соответствии с Закупочной документацией,,08.07.2026,False
32616185210,Оказание услуг по созданию автоматизированной информационной системы для автоматизации процессов обработки вызовов массового телефонного обслуживания для нужд РТУ МИРЭА,1796197.0,,RUB,2026-07-07 18:47:45.000,,,,Завершена,223-ФЗ,ЕИС,Закупка иного способа размещения,ЕИС,,"7729040491-772901001
ФГБОУ Высшего Образования «Мирэа - Российский Технологический Университет»","Соломатина Л. П.. +7 (499) 6008080, доб.: 20113. solomatina_l@mirea.ru",,,,77 Москва,ФГБОУ Высшего Образования «Мирэа - Российский Технологический Университет»,7729040491.0,772901001.0,"84954330044
84996008080
84952126565
84952156565
84952491149
84954349035
84954349287
84992694687
88123164316
88636221797","Центральный федеральный округ, Москва, Не заполнено",,08.07.2026,False
10479081,"Оказание услуг по предоставлению доступа к сервису ""Ассистент преподавателя""",20000.0,,RUB,2026-07-07 17:43:09.000,,2026-07-08 17:37:00,,Завершена,Малые закупки,,Малая закупка,РТС-тендер,,"5027057155-502701001
Муниципальное бюджетное общеобразовательное учреждение «Котельниковская СОШ № 2»",см. документацию. см. документацию. см. документацию,,,,50 Московская область,Муниципальное бюджетное общеобразовательное учреждение «Котельниковская СОШ № 2»,5027057155.0,502701001.0,"84955599309
84955599318
84985517151
84985599322
89262532558
84955598379
84955599322","Московская область, г, Котельники, мкр. Парковый, д. 5.",,08.07.2026,False
B0707261044257,26-296 анализу рынка программного обеспечения РФ по аналогам корпоративной системы интеграции приложений.,,,,2026-07-07 10:44:25.000,,2026-07-14 23:30:00,,Завершена,Коммерческие,,Тендер,Росэлторг (ЕЭТП),,"8401005730-840101001
ПАО «Горно-Металлургическая Компания «Норильский Никель»",см. документацию. см. документацию. см. документацию,,,,24 Красноярский край,ПАО «Горно-Металлургическая Компания «Норильский Никель»,8401005730.0,840101001.0,"83919255101
83919134803
83919253314
83919255801
83919257746
84957877667
83919134456
83919134509
83919244565
83919250672","Россия, г Москва, Услуга оказывается удаленно.",,08.07.2026,False
4514945,Анализ рынка на оказание услуг по предоставлению доступа сотрудникам Заказчика к корпоративным программам лояльности,,,,2026-07-07 10:05:15.000,,2026-07-14 12:00:59,,Завершена,Коммерческие,,Запрос предложений,B2B,,"9722079341-772201001
ПАО «Корпоративный Центр Икс 5»",,,,,77 Москва,ПАО «Корпоративный Центр Икс 5»,9722079341.0,772201001.0,,"109029, Россия, Г.Москва, УЛ. СРЕДНЯЯ КАЛИТНИКОВСКАЯ, Д. 28, СТР. 4",,08.07.2026,False
80276016390260002200000,Оказание услуг по настройке маршрутов и подписания кадровых электронных документов в сервисе 1С: Кабинет сотрудника.,14400.0,,RUB,2026-07-07 06:13:45.000,,,,Завершена,223-ФЗ,ЕИС,Закупка иного способа размещения,ЕИС,,"0276016390-027601001
ГБУ Уфимская городская ветеринарная станция Республики Башкортостан",,,,,02 Республика Башкортостан,ГБУ Уфимская Городская Ветеринарная Станция Республики Башкортостан,276016390.0,27601001.0,"83472163755
83472329770
83472329872
2163747
73472163255314
83472161147
83472163255
83472163747
83472163272
83472164055",,,08.07.2026,False
10479123,"Оказание услуг по передаче неисключительных прав на использование программных продуктов ""1С ИТС"", ""1С Контрагент"", ""1С ЭДО"", сопровождению 1С: Бухгалтерия Предприятия 8 (нетиповая конфигурация), 1С: 1C: Зарплата и управление персоналом 8 (нетиповая конфигурация), технической поддержке и разработке дополнительных программных продуктов 1С: Предприятие 8",300000.0,,RUB,2026-07-07 18:36:19.000,,2026-07-10 09:35:00,,Завершена,Малые закупки,,Малая закупка,РТС-тендер,,"5024131315-501001001
АО «Корпорация Развития Московской Области»",см. документацию. см. документацию. см. документацию,,,,50 Московская область,АО «Корпорация Развития Московской Области»,5024131315.0,501001001.0,"84952807924
84993506580",в соответствии с техническим заданием,,08.07.2026,False
32616182988,"Услуги по адаптации, модификации и сопровождению программ для ЭВМ",900000.0,,RUB,2026-07-07 11:31:39.000,,,,Завершена,223-ФЗ,ЕИС,"Закупка у единственного поставщика (исполнителя, подрядчика)",ЕИС,"Для СМП, СОНО","9102260332-910201001
АО «Региональная Лизинговая Компания Республики Крым»",Боженко О. В.. +7 (978) 6719497. bozhenko@rlkrk.ru,,,,91 Республика Крым,АО «Региональная Лизинговая Компания Республики Крым»,9102260332.0,910201001.0,"83652788111
89789081585
89787813920","Южный федеральный округ, Крым Респ, 295011, Республика Крым, г. Симферополь, ул. Турецкая 13А",,08.07.2026,False
10244413,"Развитие и информационно-техническое сопровождение сайта ГБУЗ ПК ""ГБ г.Соликамск"":",24000.0,,RUB,2026-07-07 11:26:04.000,,2026-07-07 14:26:04,,Завершена,Коммерческие,,Запрос котировок,Портал поставщиков,,"5919028210-591901001
ГБУЗ Пермского Края «Городская Больница г. Соликамск»",см. документацию. см. документацию. см. документацию,,,,59 Пермский край,ГБУЗ Пермского Края «Городская Больница г. Соликамск»,5919028210.0,591901001.0,"83425344916
83425370692
00000000000
44566
83425334595
83425344163
83425344176
83425344923
83425346636
83425344179","Пермский край, Соликамск, 20-летия Победы, д 10",,08.07.2026,False
6133948,Услуги по публикации вакансий и доступу к базе данных резюме,372644.0,,RUB,2026-07-07 13:36:49.000,,2026-07-08 13:36:00,,Завершена,Малые закупки,,Малая закупка,Портал поставщиков,,"7825433400-784201001
СПБ государственное бюджетное Нетиповое Образовательное учреждение «СПБ Музыкальный Лицей»",Сычёва Наталья Владимировна. 7-921-9217500730,,,,78 Санкт-Петербург,СПБ государственное бюджетное Нетиповое Образовательное учреждение «СПБ Музыкальный Лицей»,7825433400.0,784201001.0,"88122711335
88127132221
88122710785
88122712633
88122712681
88125773348
88127132063
88127132242
202122
2216666",В соответствии с Договором; г г Санкт-Петербург,,08.07.2026,False
200909736126100091,Поставка программного продукта,55500.0,,RUB,2026-07-07 06:24:42.000,,2026-07-08 06:24:00,,Завершена,Малые закупки,,Малая закупка,ЕАТ (Березка),,"2221014125-222101001
ФГБОУ Высшего Образования «Алтайский Государственный Педагогический Университет»",Вайцель Денис Эдуардович. +7(385)220-54-05. torgi@altspu.ru,,,,22 Алтайский край,ФГБОУ Высшего Образования «Алтайский Государственный Педагогический Университет»,2221014125.0,222101001.0,"83852368271
83852205405
83852629539
83852205274
83852205849
83852241872
83852361862
83852388455
83852629358
83852629514","г Барнаул, ул Молодежная, д 55",,08.07.2026,False
82353010790260000460000,Оказание информационных услуг по созданию персонального сайта учреждения,114700.0,,RUB,2026-07-07 15:37:58.000,,,,Завершена,223-ФЗ,ЕИС,"Закупка у единственного поставщика (исполнителя, подрядчика)",ЕИС,,"2353010790-235301001
ГБУ социального обслуживания Краснодарского края «Тимашевский дом милосердия»",,,,,23 Краснодарский край,ГБУ Социального Обслуживания Краснодарского Края «Тимашевский Дом Милосердия»,2353010790.0,235301001.0,"88613058317
88613058463
88001000001
88005500055
88612590097
88612596460
88613058393
88613058439
88613058433
88613058452",,,08.07.2026,False
32616184290,Открытый запрос оферт на право заключения договора на оказание услуг по сопровождению и доработке установленных у Заказчика программных продуктов (на платформе «1С: Предприятие 8.3»),720000.0,,RUB,2026-07-07 15:08:23.000,,2026-07-15 09:00:00,2026-07-15 00:00:00,Завершена,223-ФЗ,ЕИС,Закупка иного способа размещения,ЕИС,,"2626003072-262601001
АО «Кавминкурортресурсы»","Баскина Н. А.. +7 (87934) 48899, доб.: 264. zakupki@kavminkr.ru",,,,26 Ставропольский край,АО «Кавминкурортресурсы»,2626003072.0,262601001.0,"88793448881
88793448899
88793497205
88793720390
88793422059
88793422058
88793422067
88793422071
88793422073
88793422079","Северо-Кавказский федеральный округ, Ставропольский край, Место оказания услуг: оказание услуг производится силами и за счет средств Исполнителя по месту нахождения Заказчика: 357625, Ставропольский край, г. Ессентуки, ул. Пятигорская, 133.",,08.07.2026,False
32616181877,"№84/2026 участниками которого являются только субъекты малого и среднего предпринимательства на право заключения договора на предоставление неисключительного права использования программ для ЭВМ: ГИС Аксиома, Платформа nanoCAD, модули nanoCAD GeoniCS",4848382.0,,RUB,2026-07-07 07:55:55.000,,2026-07-15 10:30:00,,Завершена,223-ФЗ,ЕИС,Аукцион в электронной форме,РТС-тендер,"Для СМП, СОНО","8601033125-860101001
АО «Югорская Территориальная Энергетическая Компания-Региональные Сети»",Гейко А. А.. 7 3467 318118  412. geyko@utek-rs.ru,,,,86 Ханты-Мансийский АО (Югра),АО «Югорская Территориальная Энергетическая Компания-Региональные Сети»,8601033125.0,860101001.0,"83467318118
88002221186
202616
315577
34367318118
83463517888
83467315577
83467328006
83467328864
88005558610","Уральский федеральный округ, Ханты-Мансийский Автономный округ - Юг АО, Согласно Технического задания (Форма № 3 настоящей документации о проведении аукциона).","Ханты-Мансийский автономный округ - Югра
Уральский Федеральный Округ
Ханты-Мансийский автономный округ - Югра, г Ханты-Мансийск",08.07.2026,False
57719455553260004260000,Оказание услуг по разработке платформы онлайн-оценки уровня владения русским языком,997500.0,,RUB,2026-07-07 12:23:05.000,,,,Завершена,223-ФЗ,ЕИС,"Закупка у единственного поставщика (исполнителя, подрядчика)",ЕИС,,"7719455553-771901001
Федеральное государственное автономное Образовательное учреждение Высшего Образования «Московский Политехнический Университет»",,,,,77 Москва,Федеральное государственное автономное Образовательное учреждение Высшего Образования «Московский Политехнический Университет»,7719455553.0,771901001.0,"84965360494
84966151647
84966181891
88352621573
202627
84912254148
84951222268
84962737741
84997856224
88352620440",,,08.07.2026,False
2026006109092,"Предоставление ""Заказчику"" неисключительного права использования программы для ЭВМ ""Куб CMS"" в режиме ""Управление сайтом онлайн"", сроком на 1 год",10000.0,,RUB,2026-07-07 13:19:00.000,,2026-07-08 13:19:00,,Завершена,Малые закупки,,Малая закупка,Комитет по государственному заказу Санкт‑Петербурга,,"7816165264-781601001
Государственное бюджетное общеобразовательное учреждение СОШ № 313 Фрунзенского района Санкт-Петербурга",Морозова Вера Юрьевна. 7-812-7767956. school3131@yandex.ru,,,,78 Санкт-Петербург,Государственное бюджетное общеобразовательное учреждение СОШ № 313 Фрунзенского района Санкт-Петербурга,7816165264.0,781601001.0,"88127767956
7713813
7713814
7767956
88124175968
88127768021
89817510232","192283, Санкт-Петербург, улица Олеко Дундича, дом 25, корпус 3, Литер А",,08.07.2026,False
3704080,"Лицензия на право использования программного обеспечения для ЭВМ ""ТехноКад-Муниципалитет модуль Оптима""",58400.0,,RUB,2026-07-07 11:18:57.000,,2026-07-08 11:19:00,,Завершена,Малые закупки,,Малая закупка,Электронный магазин Московской области,,"5008001799-500801001
Администрация Городского Округа Долгопрудный",см. документацию. см. документацию. см. документацию,,,,50 Московская область,Администрация Городского Округа Долгопрудный,5008001799.0,500801001.0,"84951344471
84954082694
292125
84594080827
84954086908
84955765136
84954087200
84954088255
84955761185
84955768484",,,08.07.2026,False
100285045126100038,"Оказание услуг по расширению доступа к сервису ""1С ""Кабинет сотрудника""",3360.0,,RUB,2026-07-07 08:15:09.000,,2026-07-08 08:15:00,,Завершена,Малые закупки,,Малая закупка,ЕАТ (Березка),,"5504002648-860102001
Ханты-Мансийское Окружное Управление Водных Путей и Судоходства-Филиал Федерального Бюджетного Учреждения «Администрация Обь-Иртышского Бассейна Внутренних Водных Путей»",Клименова Татьяна Евгеньевна. 7(346)733-97-78. torg@hmvps.ru,,,,55 Омская область,Ханты-Мансийское Окружное Управление Водных Путей и Судоходства-Филиал Федерального Бюджетного Учреждения «Администрация Обь-Иртышского Бассейна Внутренних Водных Путей»,5504002648.0,860102001.0,"83812729162
83456225205
83462236551
83467339304
83467339778
83467339779
83492241605
83812532935
83812729071
83812729072",,,08.07.2026,False
3704562,"Оказание услуг по передаче неисключительных прав на использование программных продуктов ""1С ИТС"", ""1С Контрагент"", ""1С ЭДО"", сопровождению 1С: Бухгалтерия Предприятия 8 (нетиповая конфигурация), 1С: 1C: Зарплата и управление персоналом 8 (нетиповая конфигурация), технической поддержке и разработке дополнительных программных продуктов 1С: Предприятие 8",300000.0,,RUB,2026-07-07 18:35:00.000,,2026-07-10 09:35:00,,Завершена,Малые закупки,,Малая закупка,Электронный магазин Московской области,,"5024131315-501001001
АО «Корпорация Развития Московской Области»",см. документацию. см. документацию. см. документацию,,,,50 Московская область,АО «Корпорация Развития Московской Области»,5024131315.0,501001001.0,"84952807924
84993506580",,,08.07.2026,False
COM07072600012,"Открытый запрос цен в электронной форме на право заключения договора на поставку сертификатов активации сервиса прямой технической поддержки ПАК ViPNet Coordinator HW1000 4.x на срок 1 год, уровень - Расширенный, включая комплект обновления ПАК ViPNet Coordinator HW1000 4.x",1629836.42,,RUB,2026-07-07 09:40:02.000,,2026-07-15 10:00:00,,Работа комиссии,Коммерческие,,Запрос котировок,Росэлторг (ЕЭТП),,"7701058410-773101001
Но Фонд развития Центра разработки и коммерциализации новых технологий",Манжос Михаил Олегович. 749595600332164. SkZakupki@sk.ru,,,,77 Москва,Но Фонд развития Центра разработки и коммерциализации новых технологий,7701058410.0,773101001.0,"88002500921
84959560033
84957204999
84957395306
89161867612
89859213271",В соответствии с документацией,,08.07.2026,False
32616184143,Оказание услуг по технической поддержке официального сайта ГАУ СО «ГК «Гора Белая»,137600.04,,RUB,2026-07-07 14:47:10.000,,2026-07-15 07:00:00,2026-07-16 00:00:00,Работа комиссии,223-ФЗ,ЕИС,Аукцион в электронной форме,РТС-тендер,"Для СМП, СОНО","6623043324-662301001
Государственное автономное учреждение Свердловской обл. «Горнолыжный Комплекс «Гора Белая»",Борисова О. В.. 73435418214. economist@gorabelaya.ru,Интересно,,,66 Свердловская область,Государственное автономное учреждение Свердловской обл. «Горнолыжный Комплекс «Гора Белая»,6623043324.0,662301001.0,"83435421734
83435485619
83435418214
83435423195
83435482019
83435256672
83435464608","Уральский федеральный округ, Свердловская   обл, 622910, Свердловская область, муниципальный округ город Нижний Тагил, поселок Уралец, территория горнолыжный комплекс Гора Белая",,08.07.2026,True
10479187,Оказание услуг по переводу ППО Учреждения с технологической централизации на интеграцию данных бухгалтерского учета путем ежедневной выгрузки,70000.0,,RUB,2026-07-07 21:49:04.000,,2026-07-10 07:00:00,,Завершена,Малые закупки,,Малая закупка,РТС-тендер,,"5506063357-550601001
Бюджетное учреждение Омской обл. Дополнительного Образования «Областная Спортивно-Адаптивная Школа»",см. документацию. см. документацию. см. документацию,,,,55 Омская область,Бюджетное учреждение Омской обл. Дополнительного Образования «Областная Спортивно-Адаптивная Школа»,5506063357.0,550601001.0,89040749154,"Российская Федерация, Омская область, г.о. город Омск, г. Омск, ул. 5-я Кордная, д. 7;",,08.07.2026,False
32616184906,"Услуги по адаптации, модификации и сопровождению ИСС ""Техэксперт""",274800.0,,RUB,2026-07-07 16:49:54.000,,2026-07-08 12:00:00,,Завершена,223-ФЗ,ЕИС,Закупка иного способа размещения,ЕИС,"Для СМП, СОНО","7811000580-781101001
ФГУП «Специальное конструкторско-технологическое бюро «Технолог»",Конова О. В.. +7 (812) 2445779. otdelzakupok@sktb-technolog.ru,,,,78 Санкт-Петербург,ФГУП «Специальное Конструкторско-Технологическое Бюро «Технолог»,7811000580.0,781101001.0,"88127002310
88122447356
88122447373
88122447350
88122447375
88127003724
88122443538
88122443637
88122445778
88122445779","Северо-Западный федеральный округ, Санкт-Петербург, 192077; г. Санкт-Петербург, вн.тер.г. муниципальный округ Рыбацкое; тер. Усть-Славянка, пр-кт Советский; д. 33а; литера А",,08.07.2026,False
32616182786,"Оказание услуг по монтажу вычислительной сети в рамках федерального проекта «Профессионалитет» государственной программы Российской Федерации ""Развитие образования""",1920144.0,,RUB,2026-07-07 11:03:31.000,,,,Завершена,223-ФЗ,ЕИС,Закупка иного способа размещения,ЕИС,"Для СМП, СОНО","7203066708-720301001
Государственное автономное профессиональное образовательное учреждение Тюменской обл. «Тюменский техникум строительной индустрии и городского хозяйства»",Казанцева Л. С.. +7 (3452) 685281. tci72@obl72.ru,,,,72 Тюменская область,Государственное автономное Профессиональное Образовательное учреждение Тюменской обл. «Тюменский Техникум Строительной Индустрии и Городского Хозяйства»,7203066708.0,720301001.0,"83452685280
83452685281
83452685221
83452685283
83452685284
83452685286
83452334845
83452667528
83452681281
83452685285","Уральский федеральный округ, Тюменская   обл, Не заполнено",,08.07.2026,False
982060,Опрос рынка по внедрению системы SMS Firewall/Antispam с функцией шаблонирования и классификации входящих A2P SMS-сообщений для степ-тарификации.,,,,2026-07-07 11:22:00.000,,2026-07-13 12:00:00,2026-07-07 11:22:06,Завершена,Коммерческие,,Запрос цен,ЭТП ГПБ,,"7702527584-910201001
ООО «Миранда-медиа»",,,,,91 Республика Крым,ООО «Миранда-медиа»,7702527584.0,910201001.0,"89789138739
83652772772
89789105929
89789381071
89789937849
83652248240
83652610253
83652667161
83652668800
83652669084",,,08.07.2026,False
200909648126100212,Поставка программно-аппаратного комплекса автоматизации кассового узла и оказание сопутствующих услуг по внедрению для нужд ИМЧ РАН,132545.0,,RUB,2026-07-07 11:07:11.000,,2026-07-07 13:07:00,,Завершена,Малые закупки,,Малая закупка,ЕАТ (Березка),,"7813047417-781301001
Федеральное ГБУ науки Институт мозга человека им. Н.П. Бехтеревой Российской академии наук",Куликова Татьяна Владиславовна. +7(812)670-09-32(371). contract@ihb.spb.ru,,,,78 Санкт-Петербург,Федеральное ГБУ науки Институт мозга человека им. Н.П. Бехтеревой Российской академии наук,7813047417.0,781301001.0,"88126700942
88126700943
88126700947
88126707675
88126709989
88122343247
88122343259
88122343382
88122344666
88122345472","г Санкт-Петербург, ул Академика Павлова, д 12а",,08.07.2026,False
32616182984,Выполнение работ по доработке конфигурации на базе программного продукта “1С:Предприятие 8.x”,646800.0,,RUB,2026-07-07 11:31:32.000,,2026-07-07 12:00:00,2026-07-07 00:00:00,Завершена,223-ФЗ,ЕИС,Закупка иного способа размещения,ЕИС,,"2901179251-290101001
АО «Архангельская Областная Энергетическая Компания»",+8 (8182) 650809. FYashenev@aoenergo.ru,,,,29 Архангельская область,АО «Архангельская Областная Энергетическая Компания»,2901179251.0,290101001.0,"88182650809
88182651844
88182669138
88183122818
88183331655
88183331869
88183332693
88183727532
88183727771
88184854122","Северо-Западный федеральный округ, Архангельская   обл, Не заполнено",,08.07.2026,False
10476454,Оказание услуги по предоставлению неисключительных пользовательских лицензионных прав на использование антивирусного программного обеспечения,17456.2,,RUB,2026-07-07 09:36:56.000,,2026-07-09 09:33:00,,Завершена,Малые закупки,,Малая закупка,РТС-тендер,,"3223002247-325201001
ГБУЗ «Погарская центральная районная больница»",см. документацию. см. документацию. см. документацию,,,,32 Брянская область,ГБУЗ «Погарская центральная районная больница»,3223002247.0,325201001.0,"84834921459
84834922670
84834921447
84834921581
84834921379
84834921684
84834921967",Брянская обл,,08.07.2026,False
200910375126100027,"ЕП 18-26 передача неисключительных прав использования базы данных ""Проверка контрагентов""",43886.0,,RUB,2026-07-07 13:05:47.000,,2026-07-08 13:05:00,,Завершена,Малые закупки,,Малая закупка,ЕАТ (Березка),,"7202004498-720301001
Федеральное ГБУ Науки Федеральный Исследовательский Центр Тюменский Научный Центр Сибирского Отделения Российской Академии Наук",Ульянов С.А.. +7(345)268-87-17. usa-sctmn@mail.ru,,,,72 Тюменская область,Федеральное ГБУ Науки Федеральный Исследовательский Центр Тюменский Научный Центр Сибирского Отделения Российской Академии Наук,7202004498.0,720301001.0,"83452688735
83452688784
83452688717
83452688782
89123968809
89129272296
89199550292
83452406360
83452688723",,,08.07.2026,False
10477947,"Услуги по организации технической поддержки, (услуг по сопровождению программных средств), обеспечение услуг по предоставлению виртуального центра обработки данных в рамках государственной программы Ростовской области ""Развитие здравоохранения"" (Оказание услуг по предоставлению сертификата технической поддержки операционной системы ""РЕД ОС"")",60847.5,,RUB,2026-07-07 13:17:07.000,,2026-07-08 13:35:00,,Завершена,Малые закупки,,Малая закупка,РТС-тендер,,"6166052727-616601001
ГБУ Ростовской обл. «Медицинский информационно-аналитический центр»",см. документацию. см. документацию. см. документацию,,,,61 Ростовская область,ГБУ Ростовской обл. «Медицинский информационно-аналитический центр»,6166052727.0,616601001.0,"88632185882
88632017112
88632424126
88632001829
88632001830
88632001831
88632001832
88632017086
88632185234
88632185883","Место оказания услуг: Российская Федерация, Ростовская область, г. Ростов-на-Дону, пр. Сельмаш, 14. Услуги могут оказываться в удаленном режиме средствами информационных технологий и телекоммуникаций в соответствии с требованиями технического задания (приложение № 2 к Договору)",,08.07.2026,False
